uri,kind,label,lang,type
http://www.wikidata.org/prop/direct/P6885,relation,P6885,,relation
http://www.wikidata.org/prop/direct/P6886,relation,P6886,,relation
http://www.wikidata.org/prop/direct/P69,relation,P69,,relation
http://www.wikidata.org/prop/direct/P6942,relation,P6942,,relation
http://www.wikidata.org/prop/direct/P6962,relation,P6962,,relation
http://www.wikidata.org/prop/direct/P6978,relation,P6978,,relation
http://www.wikidata.org/prop/direct/P7047,relation,P7047,,relation
http://www.wikidata.org/prop/direct/P706,relation,P706,,relation
http://www.wikidata.org/prop/direct/P708,relation,P708,,relation
http://www.wikidata.org/prop/direct/P710,relation,P710,,relation
http://www.wikidata.org/prop/direct/P7137,relation,P7137,,relation
http://www.wikidata.org/prop/direct/P7153,relation,P7153,,relation
http://www.wikidata.org/prop/direct/P725,relation,P725,,relation
http://www.wikidata.org/prop/direct/P7327,relation,P7327,,relation
http://www.wikidata.org/prop/direct/P734,relation,P734,,relation
http://www.wikidata.org/prop/direct/P735,relation,P735,,relation
http://www.wikidata.org/prop/direct/P736,relation,P736,,relation
http://www.wikidata.org/prop/direct/P737,relation,P737,,relation
http://www.wikidata.org/prop/direct/P740,relation,P740,,relation
http://www.wikidata.org/prop/direct/P747,relation,P747,,relation
http://www.wikidata.org/prop/direct/P749,relation,P749,,relation
http://www.wikidata.org/prop/direct/P750,relation,distributor,,relation
http://www.wikidata.org/prop/direct/P7573,relation,P7573,,relation
http://www.wikidata.org/prop/direct/P767,relation,P767,,relation
http://www.wikidata.org/prop/direct/P769,relation,P769,,relation
http://www.wikidata.org/prop/direct/P7763,relation,P7763,,relation
http://www.wikidata.org/prop/direct/P7779,relation,P7779,,relation
http://www.wikidata.org/prop/direct/P78,relation,P78,,relation
http://www.wikidata.org/prop/direct/P780,relation,P780,,relation
http://www.wikidata.org/prop/direct/P793,relation,P793,,relation
http://www.wikidata.org/prop/direct/P7937,relation,P7937,,relation
http://www.wikidata.org/prop/direct/P7938,relation,P7938,,relation
http://www.wikidata.org/prop/direct/P7959,relation,P7959,,relation
http://www.wikidata.org/prop/direct/P797,relation,P797,,relation
http://www.wikidata.org/prop/direct/P800,relation,P800,,relation
http://www.wikidata.org/prop/direct/P802,relation,P802,,relation
http://www.wikidata.org/prop/direct/P803,relation,P803,,relation
http://www.wikidata.org/prop/direct/P81,relation,P81,,relation
http://www.wikidata.org/prop/direct/P812,relation,P812,,relation
http://www.wikidata.org/prop/direct/P8138,relation,P8138,,relation
http://www.wikidata.org/prop/direct/P825,relation,P825,,relation
http://www.wikidata.org/prop/direct/P826,relation,P826,,relation
http://www.wikidata.org/prop/direct/P828,relation,P828,,relation
http://www.wikidata.org/prop/direct/P832,relation,P832,,relation
http://www.wikidata.org/prop/direct/P8324,relation,P8324,,relation
http://www.wikidata.org/prop/direct/P833,relation,P833,,relation
http://www.wikidata.org/prop/direct/P8345,relation,P8345,,relation
http://www.wikidata.org/prop/direct/P837,relation,P837,,relation
